"q00_id","q01_num_hijos","q02a_birth_child","q02b_birth_child","q02c_birth_child","q02d_birth_child","q03_help","q04_excedencia_all","q05_duration_child","q06_duration_child","q07_duration_child","q08_main_reason","q09a_secondary_reason","q09b_secondary_reason","q09c_secondary_reason","q09d_secondary_reason","q10_diff_reasons","q11_other_ask","q12_other_not_reason","q13a_conciliation_opts","q13b_conciliation_opts","q13c_conciliation_opts","q14_company_reaction","q15_mates_reaction","q16_formation_time","q17_work_during","q18_back_work","q19_tasks_after","q20_current_tasks","q21_excedencia_general_evaluation","q22_excedencia_needs_improvements","q23_excedencia_specify_improvements","q24_conciliation_general_evaluation","q25_conciliation_needs_improvements","q26_conciliation_specify_improvements","q27_experience_description","q28_comments","q29_age","q29_genre","q31_civil_status","q32_education","q33_job","q34_contract","q35_salary","origen"
11,"2",2014,2017,NA,NA,"Sí, los abuelos u otros familiares viven en el hogar ","no","0","3","0","Quería dedicarme por completo a mi/s hijo/s","Sentía que mi puesto de trabajo estaba asegurado",NA,NA,NA,"0","no","No nos planteamos esa opción","Flexibilidad de horario","Reducción de jornada",NA,"Comprensión","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Volví al mismo puesto con la misma jornada ","Realicé la misma actividad que antes de la excedencia ","otros: No hace tres años",7,"Sí, creo que necesita alguna mejora.","Remunearlo con parte del sueldo, aunque sea poco",2,"Sí, creo que necesita alguna mejora.","Mejores horarios, posibilidad de trabajar desde casa","La mejor etapa de mi vida","No",1981,"Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector privado","Indefinido","Entre 15.001 y 25.000 euros","new"
12,"2",2013,2016,NA,NA,"Sí, los abuelos u otros familiares viven en el hogar ","si","8","9","","Quería dedicarme por completo a mi/s hijo/s","Sentía que mi puesto de trabajo estaba asegurado",NA,NA,NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Reducción de jornada",NA,NA,"Comprensión","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Cambió el tipo de jornada ","Realicé la misma actividad que antes de la excedencia ","",5,"Sí, creo que necesita alguna mejora.","Que fuera remunerada para que las familias no se descapitalizaran por atender a sus hijos",1,"Sí, creo que necesita alguna mejora.","Bajas hasta el año con mínimo. Lo ideal hasta los dos años. Una vez incorporados flexibilidad horaria, posibilidad de atender a los hijos en épocas vacacionales, teletrabajo","Alegria por poder acompañar durante su primer año de vida a mis hijos, agobio por el tema económico, tristeza en la reincorporación al sentir que todavía eran muy pequeños para dejarlos con otras personas","",1977,"Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector privado","Indefinido","Entre 15.001 y 25.000 euros","new"
13,"3",2007,2009,2013,NA,"otros: Solo una abuela","si","6 meses","3 meses","7 meses la tercera","No tenía una opción real de adaptar la jornada a mis necesidades familiares ","Económico (“me salía más a cuenta cuidar yo mismo al niño que pagar a alguien para que lo hiciera”)","Quería dedicarme por completo a mi/s hijo/s","Sentía que mi puesto de trabajo estaba asegurado",NA,"En los tres casos fue por necesidad de cuidar a mis tres hijos, la imposibilidad de dejarlos antes del año con ningún familiar y porque salía más a cuenta cuidarlos yo que contratar a alguien. El trabajo lo tenía asegurado y mi horario no era compatible para cuidarlos o trabajar desde casa","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Reducción de jornada",NA,NA,"Comprensión","otros: No lo sé, supongo que hubo de todo, quien pensó que era una floja que no aguantaba compaginar ambas cosas y quien me entendió ","otros: Jajajaja tiempo?? Tiempo para mi? Para mi desarrollo personal o profesional??? Qué es eso?? ","No","Cambió el tipo de jornada ","Realicé la misma actividad que antes de la excedencia ","Estoy en el mismo puesto o en otro similar",5,"Sí, creo que necesita alguna mejora.","Creo que para empezar las mujeres necesitamos una baja maternal más larga, remunerada. Porque tenemos un hijo, pedimos excedencia y entonces... Tenemos que vivir del aire? Las excedencias están muy bien siempre que hayas ahorrado lo suficiente para poder sobrevivir durante ese período pagando la hipoteca y el cole del resto de hijos si ya los tienes... Si no tienes ahorro supongo que debe ser imposible! O que tu pareja gana mucho... En li caso pagàbamos hipoteca guardería y cole en el caso de la tercera excedencia... Sin ahorros hubiese sido imposible. Creo que debería haber una baja de maternidad para cuidar de tu hijo el primer año de vida, ya que en mi caso yo cogí las excedencias para evitar llevar a mis hijos a la guardería durante su primer año de vida, para garantizar la lactancia materna y porque en ese primer año me necesitaban y yo a ellos, que no es menos importante. ",2,"Sí, creo que necesita alguna mejora.","Trabajo desde casa. Que no haya represalias en el caso de coger una excedencia o reducción, a mi no me ha pasado, pero tengo amigas que sí han sufrido...además que tanto los hombres como mujeres puedan disfrutar de este tipo de períodos sin que se vea afectada su situación laboral. Que la baja maternal se extienda, remunerada, al menos con una parte del sueldo. O que haya más flexibilidad horaria, aunque en mi puesto de trabajo, profesora, es la que es... No hay otra jornada. ","Ha sido el mejor tiempo y dinero invertido en toda mi vida. ","Creo que debería ser obligatoria una baja de maternidad de un año. ",1980,"Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector privado","Indefinido","Entre 15.001 y 25.000 euros","new"
14,"1",2014,NA,NA,NA,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s","si","5","","","Quería dedicarme por completo a mi/s hijo/s","Sentía que mi puesto de trabajo estaba asegurado",NA,NA,NA,"","no","No nos planteamos esa opción","Reducción de jornada",NA,NA,"Indiferencia","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Volví al mismo puesto con la misma jornada ","Realicé la misma actividad que antes de la excedencia ","Estoy en el mismo puesto o en otro similar",5,"Sí, creo que necesita alguna mejora.","Mayor flexibilidad horaria y mejor tramitación ",4,"Sí, creo que necesita alguna mejora.","Mejores horarios. Compatibles con colegios y guardes ","Mayor tiempo juntos ","",1980,"Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector público","Indefinido","Entre 30.001 y 50.000 euros ","new"
15,"1",2014,NA,NA,NA,"No, no cuento con nadie más","si","1 mes ","","No","No tenía una opción real de adaptar la jornada a mis necesidades familiares ","Quería dedicarme por completo a mi/s hijo/s",NA,NA,NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Flexibilidad de horario","Reducción de jornada",NA,"Indiferencia","Indiferencia","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Cambió el tipo de jornada ","Asumí tareas de mayor responsabilidad ","Es de mayor rango ",7,"Sí, creo que necesita alguna mejora.","Mayor información por parte de las empresas, si yo no hubiera preguntado la empresa no me hubiera informado.
Aunque la empresa esté a favor de la conciliación familiar, los jefes no están a favor de prescindir de los trabajadores durante una baja de maternidad/paternidad; mi jefe me dijo que me iba de vacaciones. 😡",5,"Sí, creo que necesita alguna mejora.","Sobre todo que la empresa las apoye y que todos los mandos se den cuenta de la importancia de la conciliación para tener empleados más contentos y que trabajen en consecuencia ","Merece la pena
Volvería a hacerlo ","",1975,"Mujer","Vivo en pareja","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector privado","Indefinido","Entre 30.001 y 50.000 euros ","new"
16,"4",2005,2009,2011,2015,"No, no cuento con nadie más","no","4 hijo 12 meses","","","Quería dedicarme por completo a mi/s hijo/s","No contaba con ayuda externa de familiares",NA,NA,NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Reducción de jornada",NA,NA,"Indiferencia","Indiferencia","Sí, compaginé el cuidado del hijo con formación / actividades para estar al día en mi profesión.","No","La excedencia no ha acabado aún","Realicé la misma actividad que antes de la excedencia ","",5,"Sí, creo que necesita alguna mejora.","Flexibilidad a la hora de reincorporarse. Si lo haces antes.de.que acabe el período de excedencia,   poder volver a cogerla en caso de necesidad, no perderla como te dicen, si te reincorporas antes pierdes el tiempo ,no la puedes volver a cogera",2,"Sí, creo que necesita alguna mejora.","Flexibilizar  los horarios para poder llevar y recoger a los niños del colegio o si hay que llevarlos al médico ","Tranquilizadora,  no remunerada, corta","Deberia ser remunerada",1977,"Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector público","otros: vacante, interinidad","Entre 25.001 y 30.000 euros ","new"
17,"1",2014,NA,NA,NA,"No, no cuento con nadie más","si","8 meses ","","","Quería dedicarme por completo a mi/s hijo/s","Sentía que mi puesto de trabajo estaba asegurado",NA,NA,NA,"","no","otros: Sólo hay un progenitor ","Reducción de jornada",NA,NA,"Comprensión","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Volví al mismo puesto con la misma jornada ","Asumí tareas de mayor responsabilidad ","Es de mayor rango ",5,"No, considero que funciona bien.","",5,"Sí, creo que necesita alguna mejora.","En mi caso No, pero si que se deberían revisar los horarios laborales para una mejor conciliacion","Gratificante en todos los ámbitos de mi vida","",1980,"Mujer","Soltero/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector público","Indefinido","Entre 25.001 y 30.000 euros ","new"
18,"1",2013,NA,NA,NA,"otros: De manera puntual dos o tres familiares pero tienen su propio trabajo. Por ello no puede ser una ayuda fija.","si","12 meses","","","No tenía una opción real de adaptar la jornada a mis necesidades familiares ","Mi puesto de trabajo no permitía la conciliación con la vida familiar ","No contaba con ayuda externa de familiares",NA,NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","En el puesto de trabajo en el que estaba no aceptaba ninguna de hecho la excedencia la aceptaron porque no se podían negar ",NA,NA,"Hostilidad","Comprensión","Sí, compaginé el cuidado del hijo con formación / actividades para estar al día en mi profesión.","Sí, por cuenta ajena","Volví al mismo puesto con la misma jornada ","Realicé la misma actividad que antes de la excedencia ","",4,"Sí, creo que necesita alguna mejora.","Que el asegurarse el puesto sea más de un año así como algún tipo de beneficio para la empresa para que no lo vean como un problema.",3,"Sí, creo que necesita alguna mejora.","Que sea más fácil y generar algún tipo de ""beneficio"" a la empresa para poder acoger las excedencias y reducciones de una manera mas llevadera para todos. En mi sector, servicios, una reducción no suele ser una opción ya que los horarios de atención son amplios y no aceptan el que acabes antes de que los niños salgan del colegio. Y si haces una reducción implica un sobrecoste para la empresa","Ansiedad laboral inicial, incomprensión y posterior decepción a la vuelta al trabajo.","",1986,"Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector privado","Indefinido","Entre 15.001 y 25.000 euros","new"
19,"1",2016,NA,NA,NA,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s","si","4","12","","Mi puesto de trabajo no permitía la conciliación con la vida familiar ","Quería dedicarme por completo a mi/s hijo/s",NA,NA,NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Reducción de jornada",NA,NA,"Indiferencia","Indiferencia","Sí, compaginé el cuidado del hijo con formación / actividades para estar al día en mi profesión.","Sí, por cuenta ajena","Volví al mismo puesto con la misma jornada ","Realicé la misma actividad que antes de la excedencia ","",3,"Sí, creo que necesita alguna mejora.","Una pensión mínima por cuidado de hijos",1,"Sí, creo que necesita alguna mejora.","Ampliación de permiso paternal a 4 meses, equipararlo con la madre, y una menor penalización en la reducción de jornada por cuidado de hijos","Fabulosa en lo personal, dura en lo económico","",1976,"Hombre","Vivo en pareja","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector privado","Indefinido","Entre 25.001 y 30.000 euros ","new"
20,"2",1992,NA,NA,NA,"No, no cuento con nadie más","no","6 ","","","Económico (“me salía más a cuenta cuidar yo mismo al niño que pagar a alguien para que lo hiciera”)","No tenía una opción real de adaptar la jornada a mis necesidades familiares ",NA,NA,NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","No facilita ninguna de estas opciones",NA,NA,"Hostilidad","Hostilidad","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","Realicé algún trabajo sin contrato","Salí del mercado laboral","Realicé trabajos de menor responsabilidad ","Los puestos no son comparables",1,"otros: Eliminaria","Que no le cueste nada económicamente a la empresa ",1,"Sí, creo que necesita alguna mejora.","Es incompatible con la mayoría de los trabajos ","Dejar la empresa","Y los autónomos?",1962,"Mujer","Casado/a","Estudios secundarios ","Trabajo por cuenta propia","otros: Autónoma","Entre 15.001 y 25.000 euros","new"
21,"2",2007,2017,NA,NA,"No, no cuento con nadie más","si","4","3","0","Sentía que mi puesto de trabajo estaba asegurado","Económico (“me salía más a cuenta cuidar yo mismo al niño que pagar a alguien para que lo hiciera”)",NA,NA,NA,"Mi segunda hija nació prematura y necesita más tiempo","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Flexibilidad de horario","Reducción de jornada",NA,"Comprensión","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Volví al mismo puesto con la misma jornada ","Realicé la misma actividad que antes de la excedencia ","Estoy en el mismo puesto o en otro similar",7,"No, considero que funciona bien.","",5,"Sí, creo que necesita alguna mejora.","La bajas de paternidad y maternidad deberían ser más largas y equilibras","Tiempo de calidad","Las excedencias son un fuerte esfuerzo económico, y si las bajas de maternidad y paternidad fueran más largas no serían necesarios estos esfuerzos ",1979,"Mujer","Vivo en pareja","Formación profesional ","Trabajo en el sector privado","Indefinido","Entre 25.001 y 30.000 euros ","new"
22,"1",2013,NA,NA,NA,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s","si","8","8","","Quería dedicarme por completo a mi/s hijo/s","Sentía que mi puesto de trabajo estaba asegurado",NA,NA,NA,"","si","","Flexibilidad de horario","Reducción de jornada",NA,"Comprensión","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Volví al mismo puesto con la misma jornada ","Realicé la misma actividad que antes de la excedencia ","Estoy en el mismo puesto o en otro similar",7,"Sí, creo que necesita alguna mejora.","",2,"Sí, creo que necesita alguna mejora.","","Gran experiencia que no ha afectado a mi desarrollo profesional","",1971,"Hombre","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector público","Indefinido","Entre 30.001 y 50.000 euros ","new"
23,"2",2013,2015,NA,NA,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s","no","6 meses en mi segundo hijo ","","","Quería dedicarme por completo a mi/s hijo/s","Quería dedicarme por completo a mi/s hijo/s",NA,NA,NA,"","no","otros: Lactancia materna ","Flexibilidad de horario","Reducción de jornada",NA,"Comprensión","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","otros: Tenía turno rodado y lo cambié a mañanas fijas de lunes a viernes por la crianza ","otros: Antes trabajaba como auxiliar de enfermería y cuando me incorporé me llamaron para trabajar de enfermera ","",1,"Sí, creo que necesita alguna mejora.","Para fomentar la lactancia materna y la crianza de tus hijos aumentaría la baja maternal hasta los tres años (edad escolar)  pudiendo disfrutarlas cualquiera de la pareja. Es una barbaridad llevar a tu bebé de 4 meses a la guardería y dejar de darle pecho. La OMS recomienda la lactancia materna hasta las 2 años. ",3,"Sí, creo que necesita alguna mejora.","Para coger una excedencia necesitas mucho dinero y muy poca gente se lo puede permitir. Por eso el aumento de tiempo de baja por maternidad. ","Maravillosa, irrepetible, un tiempo que ya no vuelve y que por falta de dinero se terminó y me incorporé al trabajo. ","",1981,"Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector público","Indefinido","Entre 15.001 y 25.000 euros","new"
